id;rules;difficulty;type;question;imgUrl;answer1;answer2;answer3;answer4;answer5;correctIndex;explanation
q-11v11-011;11v11;hard;text;Hur stor ska planytan vara i 11 mot 11?;;95-100 x 55-60 meter;110-120 x 70-80 meter;100-110 x 60-68 meter;;;2;Planytan ska vara 100–110 meter x 60–68 meter.
q-11v11-012;11v11;hard;text;Är det tillåtet att spela i byxor?;;Ja;Nej;Bara om det är minusgrader;;;1;Endast kortbyxor (shorts) är tillåtet som yttersta plagg i spelformen 11 mot 11.
q-11v11-013;11v11;hard;text;Vad är korrekt gällande undertröjor/underbyxor/tights?;;De måste vara åtsittande;De får inte bäras;De måste vara samma färg som huvudfärgen;De får bara bäras vid minusgrader;;3;De måste vara samma färg som huvudfärgen. Spelare i samma lag måste bära samma färg.
q-11v11-014;11v11;medium;text;Får de två målvakterna bära samma färg (förutsatt att de skiljer sig från de andra spelarna)?;;Ja;Nej;;;;0;Ja. Om ingen av dem har någon annan tröja ska domaren tillåta att matchen spelas.
q-11v11-015;11v11;hard;text;Vad händer om bollen spelas direkt i motståndarens mål på inkast?;;Mål döms;Inspark;Hörna;Nedsläpp;Frispark;1;Det blir inspark om bollen går direkt i mål. Alltså kan man inte göra mål direkt på inkast.
q-11v11-016;11v11;hard;text;Vilket avstånd måste motståndare hålla till hörncirkelbågen vid hörnspark?;;9,15 meter;11 meter;9 meter;10 meter;7 meter;0;Spelare ska hålla minst 9,15 meters avstånd.
q-11v11-017;11v11;easy;text;Hur långt ut från mållinjen ska straffpunkten vara?;;9,15 meter;11 meter;9 meter;10 meter;12 meter;1;I varje straffområde markeras en straffpunkt 11 meter från en punkt mitt mellan målstolparna.
q-11v11-018;11v11;easy;text;Vad blir domslutet om bollen går över sidlinjen?;;Inspark;Inkast;Hörna;Nedsläpp;Frispark;1;Inkast döms när bollen går över sidlinjen.
q-11v11-019;11v11;hard;text;Hur många spelare måste ett lag minst ha för att matchen ska fortsätta?;;9 spelare;11 spelare;7 spelare;10 spelare;8 spelare;2;En match kan inte börja eller fortsätta om något av lagen är färre än 7 spelare.
q-5v5-001;5v5;hard;text;Är det tillåtet att driva med bollen direkt från avspark i 5 mot 5?;;Ja, men inte direkt mot mål;Nej;Om domaren säger att det är okej;Ja, man får driva hur man vill;Bara om man ligger under;0;I 5 mot 5 tillåts spelare att driva med bollen så länge det inte görs mot mål.
q-5v5-002;5v5;medium;text;Är det tillåtet att göra mål direkt på frispark?;;Nej;Ja;Bara om man petar till en medspelare;Ja, men bara från egen planhalva;Bara om man ligger under;0;I 5 mot 5 är det inte tillåtet att göra mål på frispark. Om det sker ska frisparken tas om.
q-5v5-003;5v5;easy;text;Får målvakten plocka upp en hemåtpassning med händerna?;;Ja;Nej;Endast om bollen studsar;Endast om domaren tillåter;Endast utanför straffområdet;0;Hemåtpass får  tas med händerna i spelformen 5 mot 5.
q-5v5-004;5v5;medium;text;Hur startas spelet efter att bollen passerat kortlinjen via en försvarare?;;Inspark;Hörna;Nedsläpp;Frispark;Avspark;1;Hörna ges när försvarare sist rört bollen.
q-5v5-005;5v5;hard;text;Vilket av följande leder till indirekt frispark i 5 mot 5?;;Farligt spel;Hands;Bollen passerar sidlinjen;Domaren påverkar spelet;Målvakten tar en hemåtpass med händerna;0;Farligt spel ger indirekt frispark.
q-5v5-006;5v5;easy;text;Hur återupptas spelet när bollen går över sidlinjen i 5 mot 5?;;Inkast;Sidlinjespark;Nedsläpp;Hörna;Indirekt frispark;1;Sidlinjespark används när bollen passerar sidlinjen i spelformen 5 mot 5.
q-5v5-007;5v5;medium;text;Får målvakten sparka utspark över halva planen i 5 mot 5?;;Ja;Nej;Endast efter räddning;Endast om bollen studsar;Endast vid målvaktens boll;1;I 5 mot 5 gäller ofta restriktioner för att främja speluppbyggnad.
q-5v5-008;5v5;hard;text;Vad döms om en spelare spelar bollen med huvudet vid en hörna i 5 mot 5?;;Ingen åtgärd;Indirekt frispark;Direkt frispark;Straffspark;Offside;0;Även om nickar inte uppmuntras i 5 mot 5 innebär det ingen åtgärd att spela med huvudet.
q-5v5-009;5v5;hard;text;Hur stort ska målet vara i 5 mot 5?;;3 x 1,5 meter;5 x 2 meter;6 x 2,20 meter;7,32 x 2,44 meter;5,5 x 2 meter;0;Målet ska vara 3 meter x 1,5 meter.
q-5v5-010;5v5;medium;text;Vilken bollstorlek ska användas i 5 mot 5?;;Storlek 3;Storlek 5;Storlek 4;;;0;Bollstorlek 3 ska användas.
q-5v5-011;5v5;hard;text;Tillämpas hands i spelformen 5 mot 5?;;Alltid när bollen vidrar handen;Nej;Endast om det är avsiktligt;;;2;Hands döms endast om spelaren avsiktligt spelar bollen med handen eller armen.
q-5v5-012;5v5;medium;text;Hur lång är speltiden vid enskild match?;;3 x 10 minuter;3 x 20 minuter;3 x 15 minuter;3 x 25 minuter;;2;Speltiden är 3 x 15 minuter vid enskild match
q-5v5-013;5v5;hard;text;Hur lång är speltiden maximalt vid sammandrag (flera matcher samma dag)?;;3 x 10 minuter;3 x 20 minuter;3 x 15 minuter;3 x 25 minuter;;0;Speltiden är maximalt 3 x 10 minuter och kan vara kortare.
q-5v5-014;5v5;easy;text;Behöver lagen byta sida i varje period?;;Ja;Nej;;;;1;Lagen behöver inte byta sida.
q-5v5-015;5v5;medium;text;Är det tillåtet att använda sarg i spelformen 5 mot 5?;;Nej;Bara för 8-åringar;Bara för 9-åringar;Ja;;3;Det är tillåtet. När sarg används måste den vara i lämpligt material och inte vara farlig för spelarna.
q-5v5-016;5v5;hard;text;Är det tillåtet att spela i byxor?;;Ja;Nej;Bara om det är minusgrader;;;0;Det är tillåtet att spela i byxor i spelformen 5 mot 5.
q-5v5-017;5v5;easy;text;När ska ett motståndarlag backa till retreatlinjen?;;Vid hörna;Vid inkast;Vid frispark;Vid målvaktsutkast;Vid straffspark;3;Vid målvaktsutkast ska motståndarna backa till retreatlinjen.
q-5v5-018;5v5;easy;text;Kan målvakten välja att starta spelet innan motståndarna är bakom retreatlinjen?;;Ja;Nej;;;;0;Står en motståndare på fel sida om retreatlinjen kan anfallande lag välja att starta spelet ändå.
q-5v5-019;5v5;easy;text;Tillämpas straffspark i spelformen 5 mot 5?;;Ja;Nej;Bara vid cupspel;;;1;Straffspark tillämpas inte i spelformen 5 mot 5.
q-5v5-020;5v5;medium;text;Vad blir åtgärden om målvakten tar upp bollen med händerna långt ifrån målet?;;Nedsläpp;Frispark;Avspark;;;1;Frispark till motståndarlaget.
q-5v5-021;5v5;hard;text;Hur många spelare måste ett lag minst ha för att matchen ska fortsätta?;;5 spelare;3 spelare;4 spelare;2 spelare;;2;En match kan inte börja eller fortsätta om något av lagen har färre än fyra spelare.
q-7v7-001;7v7;easy;text;Finns offside i 7 mot 7?;;Ja;Nej;Endast vid fasta situationer;;Endast i straffområdet;1;Offsideregeln tillämpas inte i spelformen 7 mot 7.
q-7v7-002;7v7;medium;text;Hur långt ska avståndet vara till närmaste motståndare vid en frispark?;;5 meter;7 meter;8 meter;9 meter;10 meter;1;Regelavståndet är 7 meter.
q-7v7-003;7v7;hard;text;När används utspark i 7 mot 7?;;Alltid;Aldrig;När bollen passerar kortlinjen efter räddning;När målvakten tar upp bollen efter en räddning;Vid offside;1;I spelformen 7 mot 7 ska målvaktsutkast användas.
q-7v7-004;7v7;easy;text;Hur många spelare per lag är på planen i 7 mot 7?;;5 utespelare och målvakt;6 utespelare och målvakt;7 utespelare och målvakt;4 utespelare och målvakt;8 utespelare och målvakt;1;7 spelare per lag deltar i spelformen, därav namnet.
q-7v7-005;7v7;medium;text;Vad blir beslutet om målvakten tar upp en avsiktlig hemåtpass med händerna i 7 mot 7?;;Indirekt frispark;Direkt frispark;Straffspark;Nedsläpp;Inget beslut, spelet går vidare;0;Regeln gäller i alla spelformer utom 5 mot 5.
q-7v7-006;7v7;easy;text;När döms straff i 7 mot 7?;;Vid regelbrott precis utanför straffområdet;Vid regelbrott inom straffområdet;Endast vid hands;Endast vid fällning;Endast vid målchansutvisning;1;Straff döms vid regelbrott i straffområdet.
q-7v7-007;7v7;easy;text;Hur startas spelet efter mål i 7 mot 7?;;Hörna;Inkast;Avspark;Nedsläpp;Inspark;2;Spelet startas med avspark efter mål.
q-7v7-008;7v7;medium;text;Vad händer om bollen passerar kortlinjen efter att anfallande lag rört den sist?;;Hörna;Målvaktsutkast;Inspark;Straffspark;Nedsläpp;2;Försvarande lags målvakt ska sätta igång spelet igen genom att rulla eller kasta bollen.
q-7v7-009;7v7;medium;text;När ska en spelare dömas för en offside i 7 mot 7?;;När bollen spelas i riktning mot mål;När spelaren är bakom försvararen vid passningen;När spelaren är närmast målvakten;När bollen spelas av motståndare;Offside förekommer inte i 7 mot 7;4;Offside tillämpas inte i spelformen 7 mot 7.
q-7v7-010;7v7;medium;text;Vilken regel gäller vid en avsiktlig fällning på mittplan i 7 mot 7?;;Indirekt frispark;Direkt frispark;Straffspark;Nedsläpp;Ingen åtgärd;1;Avsiktlig fällning på mittplan döms som direkt frispark.
q-7v7-011;7v7;hard;text;Vilken åtgärd gäller om målvakten tar emot en hemåtpassning med händerna i 7 mot 7?;;Indirekt frispark;Direkt frispark;Straffspark;Hörna;Nedsläpp;0;Hemåtpassning som tas med händerna ger indirekt frispark i alla spelformer utom 5 mot 5.
q-7v7-012;7v7;easy;text;Vad blir domslutet om bollen går över sidlinjen i 7 mot 7?;;Inspark;Inkast;Hörna;Nedsläpp;Frispark;1;Inkast döms när bollen går över sidlinjen.
q-7v7-013;7v7;hard;text;Hur stort ska målet vara i 7 mot 7?;;3 x 1,5 meter;5 x 2 meter;6 x 2,20 meter;7,32 x 2,44 meter;5,5 x 2 meter;1;Målet ska vara 5 meter x 2 meter.
q-7v7-014;7v7;hard;text;Hur lång är planen i 7 mot 7?;;80-90 meter;65-72 meter;90–105 meter;50-55 meter;60–80 meter;3;Enligt reglerna ska planen vara 50-55 meter lång.
q-7v7-015;7v7;hard;text;Vad döms om en försvarare i eget straffområde får bollen på handen när hen skyddar ansiktet?;;Ingen åtgärd;Indirekt frispark;Straffspark;;;2;Eftersom spelaren har händerna i en onaturlig position döms straffspark.
q-7v7-016;7v7;hard;text;Vad ska dömas om en indirekt frispark skjuts direkt i mål i 7 mot 7?;;Frisparken slås om;Målvaktsutkast;Mål följt av avspark;Indirekt frispark till motståndarlaget;Hörna;1;Det är inte tillåtet att skjuta en indirekt frispark direkt i mål.
q-7v7-017;7v7;medium;text;Får spelaren flytta hörnmarkeringen vid hörna?;;Ja;Nej;Bara om den är i vägen;Bara om domaren tillåter;;1;Det är inte tillåtet att flytta hörnmarkeringen (flagga, kon eller motsvarande).
q-7v7-018;7v7;hard;text;I vilket läge får det ena laget spela med fler spelare?;;Aldrig;När man leder;När man ligger under med 4 mål;När domaren bestämmer;Om man har yngre spelare än motståndaren;2;Vid underläge med minst fyra mål får laget som ligger under spela med 7 utespelare tills det står lika.
q-7v7-019;7v7;easy;text;På vilket avstånd får motspelarna ställa upp sin mur vid frispark?;;7 meter;2 meter;9 meter;10 meter;5 meter;0;Motståndarlagets spelare ska stå minst sju meter från bollen.
q-7v7-020;7v7;medium;text;Vilket avstånd måste anfallande spelare hålla till motståndarnas målvakt?;;7 meter;2 meter;5 meter;Inget särskilt avstånd;9 meter;1;Anfallande lag ska vara minst 2 meter från motståndarnas målvakt.
q-7v7-021;7v7;medium;text;Vad händer om en spelare gör ett felaktigt inkast i 7 mot 7?;;Inkastet går över till motståndarlaget;Inget, spelet går vidare;Inkastet tas om;Indirekt frispark;Spelaren varnas;2;Om något blir fel vid inkast ska inkastet göras om.
q-7v7-022;7v7;hard;text;Tillämpas hands i 7 mot 7?;;Alltid när bollen vidrar handen;Nej;Endast om det är avsiktligt;;;2;Hands döms endast om spelaren avsiktligt spelar bollen med handen eller armen.
q-7v7-023;7v7;medium;text;Hur lång är speltiden vid enskild match?;;3 x 10 minuter;3 x 20 minuter;3 x 15 minuter;3 x 25 minuter;;1;Speltiden är 3 x 20 minuter vid enskild match
q-7v7-024;7v7;medium;text;Får målvakten göra en utspark på volley i 7 mot 7 matcher?;;Ja;Nej;När målvakten tar upp bollen i spelet;;;1;I spelformen 7 mot 7 ska målvaktsutkast användas.
q-7v7-025;7v7;medium;text;Vilken bollstorlek ska användas i 7 mot 7?;;Storlek 3;Storlek 5;Storlek 4;;;2;Bollstorlek 4 ska användas.
q-7v7-026;7v7;medium;text;Får en utvisad spelare ersättas i spelformen 7 mot 7?;;Ja;Nej;Endast om laget ligger under;;;0;En utvisad spelare får ersättas i 7 mot 7. Den utvisade spelaren får inte återinträda i spelet.
q-7v7-027;7v7;hard;text;Hur lång är speltiden maximalt vid sammandrag (flera matcher samma dag)?;;3 x 10 minuter;3 x 20 minuter;3 x 15 minuter;3 x 25 minuter;;2;Speltiden är maximalt 3 x 15 minuter och kan vara kortare.
q-7v7-028;7v7;medium;text;Behöver lagen byta sida i varje period?;;Ja;Nej;;;;1;Lagen behöver inte byta sida.
q-7v7-029;7v7;hard;text;Är det tillåtet att spela i byxor?;;Ja;Nej;Bara om det är minusgrader;;;0;Det är tillåtet att spela i byxor i spelformen 7 mot 7.
q-7v7-030;7v7;easy;text;När ska ett motståndarlag backa till retreatlinjen?;;Vid hörna;Vid inkast;Vid frispark;Vid målvaktsutkast;Vid straffspark;3;Vid målvaktsutkast ska motståndarna backa till retreatlinjen.
q-7v7-031;7v7;easy;text;Kan målvakten välja att starta spelet innan motståndarna är bakom retreatlinjen?;;Ja;Nej;;;;0;Står en motståndare på fel sida om retreatlinjen kan anfallande lag välja att starta spelet ändå.
q-7v7-032;7v7;hard;text;Hur många spelare måste ett lag minst ha för att matchen ska fortsätta?;;5 spelare;6 spelare;4 spelare;7 spelare;;0;En match kan inte börja eller fortsätta om något av lagen har färre än fem spelare.
q-9v9-001;9v9;easy;text;Vilket av följande är korrekt om spelarnas utrustning?;;Benskydd är frivilligt;Benskydd är obligatoriskt;Endast målvakt behöver benskydd;Endast utespelare behöver benskydd;Benskydd används bara när man spelar i shorts;1;Benskydd är alltid obligatoriskt.
q-9v9-002;9v9;hard;text;Hur lång är planen i 9 mot 9?;;80-90 meter;65-72 meter;90–105 meter;50-55 meter;60–80 meter;1;Enligt reglerna ska planen vara 65-72 meter lång.
q-9v9-003;9v9;hard;text;Vad gäller vid tillbakapass till målvakt i 9 mot 9?;;Målvakten får alltid ta med händerna;Målvakten får aldrig ta med händerna;Målvakten får bara ta med händerna om bollens riktning ändras;Målvakten får ta med händerna om passningen sker med annan kroppsdel än foten;Målvakten får ta med händerna om passningen sker efter inkast från medspelare;3;Avsiktlig hemåtpass med foten får inte tas med händerna.
q-9v9-004;9v9;easy;text;Hur många spelare är på planen per lag i 9 mot 9?;;9 utespelare och målvakt;7 utespelare och målvakt;8 utespelare och målvakt;;6 utespelare och målvakt;2;9 spelare per lag deltar i spelformen, därav namnet.
q-9v9-005;9v9;hard;text;Vad händer om bollen spelas direkt i motståndarens mål på inkast?;;Mål döms;Inspark;Hörna;Nedsläpp;Frispark;1;Det blir inspark om bollen går direkt i mål. Alltså kan man inte göra mål direkt på inkast.
q-9v9-006;9v9;easy;text;Vilket avstånd till närmaste motståndare gäller vid hörna i 9 mot 9?;;5 meter;7 meter;9 meter;10 meter;3 meter;2;Spelare ska hålla minst 9 meters avstånd.
q-9v9-007;9v9;easy;text;Hur startas andra halvlek i 9 mot 9?;;Inkast;Hörna;Avspark;Nedsläpp;Frispark;2;Halvlekar startas alltid med avspark i alla spelformer.
q-9v9-008;9v9;easy;text;Vad blir domslutet om bollen går över sidlinjen?;;Inspark;Inkast;Hörna;Nedsläpp;Frispark;1;Inkast döms när bollen går över sidlinjen.
q-9v9-009;9v9;hard;text;Hur stort ska målet vara i 9 mot 9?;;3 x 1,5 meter;5 x 2 meter;6 x 2,20 meter;7,32 x 2,44 meter;5,5 x 2 meter;2;Målet ska vara 6 meter x 2,20 meter.
q-9v9-010;9v9;easy;text;Hur långt ut från mållinjen ska straffområdet vara i 9 mot 9?;;7 meter;8 meter;9 meter;10 meter;11 meter;2;Straffområdet ska vara nio meter framåt i planen.
q-9v9-011;9v9;medium;text;Är det tillåtet för spelarna att bära smycken?;;Endast halsband;Endast ringar;Ja;Endast örhängen;Nej;4;Grundregeln är att alla typer av smycken är förbjudna och måste tas bort.
q-9v9-012;9v9;medium;text;Får spelaren flytta hörnmarkeringen vid hörna?;;Ja;Nej;Bara om den är i vägen;Bara om domaren tillåter;;1;Det är inte tillåtet att flytta hörnmarkeringen (flagga, kon eller motsvarande).
q-9v9-013;9v9;medium;text;Hur lång är speltiden vid enskild match?;;3 x 10 minuter;3 x 20 minuter;3 x 15 minuter;3 x 25 minuter;;3;Speltiden är 3 x 25 minuter vid enskild match
q-9v9-014;9v9;hard;text;Får en utvisad spelare ersättas i spelformen 9 mot 9?;;Ja;Nej;Endast om laget ligger under;;;1;En utvisad spelare får inte ersättas med en annan spelare.
q-9v9-015;9v9;hard;text;Kan man använda assisterande domare i spelformen 9 mot 9?;;Nej;Ja, två assisterande;Ja, en assisterande;;;1;Två assisterande domare kan utses och ska fokusera på offside samt om bollen lämnar spelplanen.
q-9v9-016;9v9;hard;text;Är det tillåtet att spela i byxor?;;Ja;Nej;Bara om det är minusgrader;;;1;Endast kortbyxor (shorts) är tillåtet som yttersta plagg i spelformen 9 mot 9.
q-9v9-017;9v9;medium;text;Vilket alternativ beskriver korrekt hur offside bedöms?;;Spelare döms alltid offside om denne är närmast mål;Spelare döms offside om denne deltar aktiv i spelet;Offside gäller endast i straffområdet;Offside gäller inte vid frispark;En målvakt kan aldrig vara offside;1;Offside kräver aktiv inverkan.
q-9v9-018;9v9;hard;text;När är en spelare inte offside trots position?;;När spelaren står still;När spelaren är på egen planhalva;När spelaren får bollen via nick;När spelaren inte rör bollen;När spelaren är ensam med målvakten;1;Offside gäller inte på egen planhalva.
q-9v9-019;9v9;hard;text;Hur många spelare måste ett lag minst ha för att matchen ska fortsätta?;;5 spelare;6 spelare;8 spelare;7 spelare;9 spelare;3;En match kan inte börja eller fortsätta om något av lagen har färre än sju spelare.
q-all-001;all;easy;text;Hur startas en match i fotboll?;;Nedsläpp;Inspark;Avspark;;;2;Matchen startar med avspark i samtliga spelformer.
q-all-002;all;hard;text;Får en spelare spela med hårt gips på en hand?;;Bara om domaren tillåter det;Ja;Nej;Om spelaren har tillåtelse av läkare;;2;Endast skyddsutrustning som inte är farlig och tillverkad av stoppat lättviktsmaterial är tillåten.
q-all-003;all;hard;text;Måste domaren blåsa en signal vid avspark?;;Nej;Bara vid avspark efter mål;Ja;Bara vid avspark när en halvlek startar;;2;Domaren måste alltid blåsa en signal vid avspark.
q-all-004;all;expert;text;Vilken regel gäller för hörnspark?;;Regel 13;Regel 15;Regel 17;Regel 12;Regel 16;2;Regel 17: Hörnspark
q-all-005;all;expert;text;Vilken regel gäller för frispark?;;Regel 13;Regel 15;Regel 17;Regel 11;Regel 10;0;Regel 13: Frispark
q-all-006;all;expert;text;Vad handlar regel 14 om?;;Inkast;Hörna;Otillåtet spel och olämpligt uppträdande;Nedsläpp;Straffspark;4;Regel 14: Straffspark
q-all-007;all;medium;text;När räknas bollen som ur spel?;;När halva bollen har passerat mål- eller sidlinjen;När hela bollen har passerat mål- eller sidlinjen;När bollen är delvis på mål- eller sidlinjen;;;1;När hela bollen har passerat mållinjen eller sidlinjen (på marken eller i luften).
q-all-008;all;medium;text;Vilket domartecken visar inspark/målvaktsutkast?;;Armen rakt upp;Armen rakt åt ena sidan;Armen framåt med handflatan nedåt;Armen pekande på målvakten;Armen pekande mot hörnmarkeringen;2;Armen framåt, pekande lite mot backen med handflatan nedåt.
q-all-009;all;medium;img;Vad betyder domartecknet?;q-all-009.jpg;Inkast;Indirekt frispark;Direkt frispark;Inspark;Hörna;1;Domartecknet visar indirekt frispark.
q-all-010;all;medium;img;Vad betyder domartecknet?;q-all-010.jpg;Varning;Indirekt frispark;Direkt frispark;Inspark;Hörna;2;Domartecknet visar direkt frispark.
q-all-011;all;medium;img;Vad betyder domartecknet?;q-all-011.jpg;Inspark;Indirekt frispark;Direkt frispark;Straffspark;Hörna;4;Domartecknet visar hörna.
q-all-012;all;hard;img;Vad betyder domartecknet?;q-all-012.jpg;Fördel;Indirekt frispark;Direkt frispark;Straffspark;Hörna;0;Domartecknet visar fördel (spelet går vidare).
q-all-013;all;easy;img;Är bollen i mål?;q-all-013.jpg;Ja;Nej;;;;1;Hela bollen måste passera mållinjen innan det är mål.
q-all-014;all;easy;text;Hur många byten får göras under matchen?;;Obegränsat antal;5 byten;3 byten;;;0;Obegränsat antal byten får göras under matchen.
q-all-015;all;hard;text;Vad är åtgärden om målvakten rör sig framåt från mållinjen för tidigt och räddar vid en straffspark?;;Ingen åtgärd;Straffen ska slås om;Indirekt frispark;Straffen döms som mål;;1;Straffen ska slås om. (I spelformen 5 mot 5 tillämpas inte straffar)
q-all-016;all;easy;text;Vad gäller för färgen på lagens dräkter i alla spelformer?;;De måste vara röda eller blåa;De måste vara snygga;De måste skilja mellan lagen;;;2;De två lagens dräkter ska ha färger som skiljer lagen från varandra och från domaren.
q-all-017;all;medium;text;När är bollen i spel efter ett nedsläpp?;;När den lämnar domarens hand;När den träffar en spelare;När den vidrör marken;;;2;Bollen är i spel när den vidrör marken.
